erpid,name,branch,obtainedmarks_1,totalmarks_1,obtainedmarks_2,totalmarks_2,pref_1,pref_2,pref_3,pref_4,pref_5
E026,Student 26,EEE,553,600,483,600,ETC,CIVIL,ECE,EE,ME
E027,Student 27,EEE,426,600,576,600,ETC,ECE,CIVIL,ME,EE
E028,Student 28,CSE,558,600,555,600,ETC,ECE,ME,CIVIL,EE
E029,Student 29,MECH,516,600,416,600,ETC,CIVIL,ME,EE,ECE
E030,Student 30,MECH,473,600,411,600,ETC,EE,ME,CIVIL,ECE
E031,Student 31,IT,563,600,587,600,ETC,ME,EE,CIVIL,ECE
E032,Student 32,MECH,567,600,549,600,ETC,EE,ME,CIVIL,ECE
E033,Student 33,CSE,548,600,476,600,ETC,CIVIL,ME,ECE,EE
E034,Student 34,CIVIL,567,600,503,600,ETC,ECE,CIVIL,EE,ME
E035,Student 35,CSE,500,600,547,600,ETC,ME,CIVIL,ECE,EE
E036,Student 36,IT,469,600,484,600,ETC,ECE,EE,CIVIL,ME
E037,Student 37,CSE,517,600,425,600,ETC,ME,CIVIL,ECE,EE
E038,Student 38,IT,574,600,555,600,ETC,ECE,CIVIL,EE,ME
E039,Student 39,CIVIL,495,600,537,600,ETC,EE,CIVIL,ECE,ME
E040,Student 40,MECH,428,600,416,600,ETC,EE,ME,ECE,CIVIL
E041,Student 41,CIVIL,470,600,482,600,ETC,CIVIL,ME,EE,ECE
E042,Student 42,EEE,509,600,560,600,ETC,ECE,CIVIL,EE,ME
E043,Student 43,CIVIL,476,600,539,600,ETC,ECE,ME,CIVIL,EE
E044,Student 44,EEE,451,600,534,600,ETC,ECE,ME,CIVIL,EE
E045,Student 45,MECH,517,600,514,600,ETC,ME,ECE,CIVIL,EE
E046,Student 46,MECH,530,600,448,600,ETC,EE,CIVIL,ECE,ME
E047,Student 47,IT,547,600,584,600,ETC,ME,EE,ECE,CIVIL
E048,Student 48,EEE,507,600,570,600,ETC,CIVIL,ECE,ME,EE
E049,Student 49,CIVIL,550,600,451,600,ETC,ECE,CIVIL,EE,ME
E050,Student 50,CSE,540,600,550,600,ETC,EE,ECE,ME,CIVIL
E051,Student 51,CSE,440,600,565,600,ETC,EE,ECE,ME,CIVIL
E052,Student 52,CSE,451,600,433,600,ETC,CIVIL,ECE,ME,EE
E053,Student 53,IT,404,600,482,600,ETC,EE,ECE,CIVIL,ME
E054,Student 54,CSE,540,600,500,600,ETC,ME,ECE,CIVIL,EE
E055,Student 55,IT,434,600,415,600,ETC,CIVIL,ME,ECE,EE
E056,Student 56,CIVIL,428,600,439,600,ETC,ECE,ME,CIVIL,EE
E057,Student 57,IT,492,600,563,600,ETC,ECE,ME,CIVIL,EE
E058,Student 58,IT,529,600,481,600,ETC,ME,EE,ECE,CIVIL
E059,Student 59,CSE,490,600,418,600,ETC,ECE,CIVIL,EE,ME
E060,Student 60,EEE,464,600,563,600,ETC,EE,ME,ECE,CIVIL
E061,Student 61,CSE,554,600,558,600,ETC,ECE,ME,EE,CIVIL
E062,Student 62,EEE,569,600,488,600,ETC,ECE,EE,CIVIL,ME
E063,Student 63,CSE,495,600,443,600,ETC,ECE,ME,EE,CIVIL
E064,Student 64,CIVIL,512,600,471,600,ETC,EE,ECE,ME,CIVIL
E065,Student 65,CIVIL,441,600,449,600,ETC,ECE,ME,EE,CIVIL
E066,Student 66,CSE,519,600,527,600,ETC,CIVIL,EE,ECE,ME
E067,Student 67,IT,479,600,575,600,ETC,ECE,EE,ME,CIVIL
E068,Student 68,MECH,440,600,463,600,ETC,ECE,CIVIL,ME,EE
E069,Student 69,CSE,492,600,494,600,ETC,EE,CIVIL,ME,ECE
E070,Student 70,IT,468,600,587,600,ETC,EE,CIVIL,ECE,ME
E071,Student 71,CIVIL,456,600,445,600,ETC,ME,EE,CIVIL,ECE
E072,Student 72,CIVIL,545,600,582,600,ETC,ECE,CIVIL,ME,EE
E073,Student 73,CIVIL,414,600,568,600,ETC,EE,CIVIL,ECE,ME
E074,Student 74,EEE,531,600,516,600,ETC,EE,ME,ECE,CIVIL
E075,Student 75,MECH,540,600,550,600,ETC,EE,CIVIL,ECE,ME
E076,Student 76,CIVIL,536,600,497,600,ETC,EE,CIVIL,ME,ECE
E077,Student 77,CSE,587,600,482,600,ETC,CIVIL,ME,EE,ECE
E078,Student 78,CSE,442,600,539,600,ETC,CIVIL,EE,ECE,ME
E079,Student 79,EEE,426,600,589,600,ETC,ECE,ME,CIVIL,EE
E080,Student 80,CIVIL,465,600,416,600,ETC,CIVIL,ME,ECE,EE
E081,Student 81,EEE,496,600,491,600,ETC,ME,ECE,CIVIL,EE
E082,Student 82,MECH,581,600,464,600,ETC,ME,ECE,CIVIL,EE
E083,Student 83,IT,480,600,574,600,ETC,EE,ECE,CIVIL,ME
E084,Student 84,IT,521,600,471,600,ETC,ECE,EE,ME,CIVIL
E085,Student 85,MECH,475,600,586,600,ETC,ME,EE,ECE,CIVIL
E086,Student 86,MECH,460,600,502,600,ETC,EE,ME,ECE,CIVIL
E087,Student 87,EEE,549,600,464,600,ETC,CIVIL,EE,ME,ECE
E088,Student 88,CIVIL,458,600,418,600,ETC,ECE,CIVIL,EE,ME
E089,Student 89,IT,499,600,463,600,ETC,CIVIL,ECE,ME,EE
E090,Student 90,CSE,543,600,505,600,ETC,ME,EE,CIVIL,ECE
E091,Student 91,IT,531,600,440,600,ETC,CIVIL,ME,EE,ECE
E092,Student 92,EEE,560,600,421,600,ETC,CIVIL,EE,ECE,ME
E093,Student 93,CIVIL,502,600,447,600,ETC,ME,CIVIL,ECE,EE
E094,Student 94,IT,462,600,590,600,ETC,CIVIL,ME,ECE,EE
E095,Student 95,CIVIL,480,600,569,600,ETC,CIVIL,ECE,ME,EE
E096,Student 96,MECH,401,600,580,600,ETC,CIVIL,ECE,ME,EE
E097,Student 97,MECH,503,600,582,600,ETC,ECE,ME,CIVIL,EE
E098,Student 98,EEE,538,600,424,600,ETC,EE,ECE,CIVIL,ME
E099,Student 99,IT,537,600,550,600,ETC,ME,ECE,EE,CIVIL
E100,Student 100,EEE,540,600,550,600,ETC,ME,ECE,EE,CIVIL
